k,n_cpus,time_mn,rounds_mn,metric_mn,time_sd,rounds_sd,metric_sd
1,1,1.077405293782552,1.0,0.0,0.0029407054529977375,0.0,0.0
1,2,0.5814520517985026,1.0,0.0,0.00019877431639073683,0.0,0.0
1,4,0.391542911529541,1.0,0.0,0.0008767180560396423,0.0,0.0
1,8,0.30641674995422363,1.0,0.0,0.0010034654784005972,0.0,0.0
1,16,0.3447841803232829,1.0,0.0,0.000529741773000852,0.0,0.0
1,20,0.2603925069173177,1.0,0.0,0.00036935464482764724,0.0,0.0
1,24,0.2864813009897868,1.0,0.0,0.0038730018309162248,0.0,0.0
1,28,0.31085658073425293,1.0,0.0,0.006095387294680188,0.0,0.0
1,32,0.32940006256103516,1.0,0.0,0.003929610116981249,0.0,0.0
1,36,0.33747537930806476,1.0,0.0,0.0064513609036885005,0.0,0.0
1,40,0.3532854715983073,1.0,0.0,0.0018403011190799403,0.0,0.0
1000,1,1402.25359805425,1000.0,555.0029474536728,3.2155390020145935,0.0,0.0
1000,2,801.0291911760966,1000.0,555.0029474536728,20.657573478458136,0.0,0.0
1000,4,609.7223735650381,1000.0,555.0029474536728,2.8550995528426046,0.0,0.0
1000,8,538.1482882499695,1000.0,555.0029474536728,4.43545070717401,0.0,0.0
1000,16,572.5019632180532,1000.0,555.0029474536728,6.126140159975174,0.0,0.0
1000,20,590.9110895792643,1000.0,555.0029474536728,5.8879771717123965,0.0,0.0
1000,24,595.6195640563965,1000.0,555.0029474536728,4.753927293387908,0.0,0.0
1000,28,584.8203147252401,1000.0,555.0029474536728,6.621626278860962,0.0,0.0
1000,32,638.7803028424581,1000.0,555.0029474536728,10.244236944108074,0.0,0.0
1000,36,738.4659798940023,1000.0,555.0029474536728,10.786673760403831,0.0,0.0
1000,40,756.4693630536398,1000.0,555.0029474536728,16.546678331879047,0.0,0.0
2000,1,2858.6973206202188,2000.0,555.13828198018,10.334955651628107,0.0,0.0
2000,2,1650.6599853038788,2000.0,555.13828198018,61.257634795458024,0.0,0.0
2000,4,1230.85027774175,2000.0,555.13828198018,18.785493046316958,0.0,0.0
2000,8,1073.7709840138752,2000.0,555.13828198018,18.803333184181426,0.0,0.0
2000,16,1129.5327494939168,2000.0,555.13828198018,3.090441570748493,0.0,0.0
2000,20,1210.2255582809448,2000.0,555.13828198018,2.8853474532350076,0.0,0.0
2000,24,1265.6061952114105,2000.0,555.13828198018,6.199124302239369,0.0,0.0
2000,28,1323.6582630475361,2000.0,555.13828198018,2.776550475986513,0.0,0.0
2000,32,1396.5555241902669,2000.0,555.13828198018,5.039104376952243,0.0,0.0
2000,36,1407.1936538219452,2000.0,555.13828198018,17.05032973023544,0.0,0.0
2000,40,1414.7546654542286,2000.0,555.13828198018,9.061715850057418,0.0,0.0
